property_id,property_type,district,size_sqm,rooms,energy_class,asking_price_eur,intake_date,listed_date,days_to_publish,agent_id,status
RK-0001,Apartment,Hamburg-Harburg,54,3,C,294000,2024-04-12,2024-05-01,19,Agent_23,Sold
RK-0002,Apartment,Hamburg-Barmbek,42,1,A+,192000,2024-11-27,2024-12-09,12,Agent_30,Withdrawn
RK-0003,House,Hamburg-St. Pauli,157,5,B,777000,2025-07-04,2025-07-14,10,Agent_28,Sold
RK-0004,Commercial,Hamburg-Eppendorf,110,4,C,414000,2025-05-16,2025-05-19,3,Agent_37,Sold
RK-0005,Apartment,Hamburg-St. Pauli,128,4,C,517000,2024-12-09,2024-12-11,2,Agent_20,Active
RK-0006,Apartment,Hamburg-Altona,86,2,C,495000,2025-07-07,2025-07-15,8,Agent_04,Active
RK-0007,House,Hamburg-Blankenese,245,6,C,1068000,2024-07-16,2024-07-20,4,Agent_14,Sold
RK-0008,Studio,Hamburg-Bergedorf,40,1,F,189000,2024-11-18,2024-12-03,15,Agent_24,Sold
RK-0009,Apartment,Hamburg-Blankenese,68,4,A+,263000,2025-06-03,2025-06-04,1,Agent_44,Sold
RK-0010,House,Hamburg-St. Pauli,262,6,E,1199000,2025-04-27,2025-05-04,7,Agent_41,Sold
RK-0011,Apartment,Hamburg-Barmbek,87,2,E,483000,2024-03-27,2024-04-08,12,Agent_40,Sold
RK-0012,Apartment,Hamburg-Harburg,117,4,C,565000,2024-07-22,2024-08-05,14,Agent_39,Sold
RK-0013,Apartment,Hamburg-Winterhude,116,2,E,541000,2024-08-08,2024-08-28,20,Agent_32,Active
RK-0014,Apartment,Hamburg-St. Pauli,82,2,E,409000,2025-11-10,2025-11-29,19,Agent_22,Sold
RK-0015,House,Hamburg-Harburg,233,5,B,1361000,2025-06-19,2025-07-09,20,Agent_30,Active
RK-0016,Apartment,Hamburg-Wandsbek,101,2,B,525000,2024-09-19,2024-10-09,20,Agent_13,Active
RK-0017,House,Hamburg-Blankenese,161,4,D,879000,2025-10-30,2025-11-14,15,Agent_32,Sold
RK-0018,Studio,Hamburg-Eppendorf,39,1,B,206000,2025-05-17,2025-05-24,7,Agent_02,Active
RK-0019,Apartment,Hamburg-Altona,41,3,C,221000,2024-08-11,2024-08-12,1,Agent_19,Sold
RK-0020,House,Hamburg-Blankenese,167,4,C,1245000,2024-04-15,2024-05-02,17,Agent_38,Withdrawn
RK-0021,Apartment,Hamburg-Eppendorf,55,4,C,272000,2024-06-29,2024-07-05,6,Agent_16,Sold
RK-0022,Apartment,Hamburg-HafenCity,106,4,E,587000,2025-05-02,2025-05-03,1,Agent_40,Active
RK-0023,Apartment,Hamburg-St. Pauli,128,2,B,670000,2024-10-21,2024-10-24,3,Agent_07,Withdrawn
RK-0024,House,Hamburg-Ottensen,212,4,E,1172000,2024-08-29,2024-09-10,12,Agent_05,Active
RK-0025,Apartment,Hamburg-Winterhude,58,3,A,287000,2025-02-06,2025-02-07,1,Agent_24,Active
RK-0026,Penthouse,Hamburg-Altona,173,4,B,1480000,2025-04-14,2025-04-17,3,Agent_25,Sold
RK-0027,House,Hamburg-Blankenese,268,4,C,1555000,2025-01-16,2025-02-01,16,Agent_20,Sold
RK-0028,House,Hamburg-Barmbek,132,5,F,680000,2025-03-31,2025-04-14,14,Agent_30,Sold
RK-0029,Penthouse,Hamburg-Ottensen,116,4,B,788000,2025-08-16,2025-08-31,15,Agent_33,Sold
RK-0030,House,Hamburg-Eppendorf,148,4,D,1102000,2024-07-24,2024-08-07,14,Agent_06,Withdrawn
RK-0031,Apartment,Hamburg-Altona,85,4,C,382000,2024-04-24,2024-04-25,1,Agent_03,Withdrawn
RK-0032,House,Hamburg-HafenCity,203,4,A,979000,2024-09-29,2024-10-14,15,Agent_22,Sold
RK-0033,Penthouse,Hamburg-Bergedorf,106,5,D,662000,2024-06-17,2024-06-24,7,Agent_29,Sold
RK-0034,Commercial,Hamburg-Eimsbüttel,72,4,A,290000,2024-01-23,2024-02-05,13,Agent_20,Sold
RK-0035,Apartment,Hamburg-Bergedorf,126,1,C,584000,2025-12-08,2025-12-27,19,Agent_25,Active
RK-0036,House,Hamburg-Eimsbüttel,185,4,D,903000,2024-02-12,2024-02-23,11,Agent_37,Active
RK-0037,Studio,Hamburg-HafenCity,26,1,A,136000,2024-11-30,2024-12-15,15,Agent_35,Active
RK-0038,Studio,Hamburg-St. Pauli,29,1,D,165000,2025-10-03,2025-10-20,17,Agent_19,Active
RK-0039,Apartment,Hamburg-Altona,101,4,B,579000,2025-10-01,2025-10-02,1,Agent_47,Active
RK-0040,Apartment,Hamburg-HafenCity,40,4,A+,180000,2025-03-17,2025-03-22,5,Agent_22,Sold
RK-0041,Apartment,Hamburg-Winterhude,125,1,B,630000,2024-02-23,2024-03-09,15,Agent_49,Active
RK-0042,Commercial,Hamburg-Bergedorf,400,4,C,1525000,2024-09-05,2024-09-10,5,Agent_23,Sold
RK-0043,Apartment,Hamburg-Blankenese,49,3,E,266000,2024-11-07,2024-11-20,13,Agent_04,Withdrawn
RK-0044,Commercial,Hamburg-Eppendorf,219,3,C,734000,2025-10-13,2025-10-25,12,Agent_50,Sold
RK-0045,House,Hamburg-St. Pauli,200,5,B,1128000,2024-06-06,2024-06-16,10,Agent_43,Active
RK-0046,Apartment,Hamburg-Altona,74,2,B,288000,2025-08-17,2025-08-27,10,Agent_26,Sold
RK-0047,House,Hamburg-Ottensen,213,5,F,982000,2025-01-06,2025-01-10,4,Agent_25,Sold
RK-0048,Apartment,Hamburg-HafenCity,63,4,C,310000,2025-06-13,2025-07-01,18,Agent_49,Withdrawn
RK-0049,House,Hamburg-Eimsbüttel,111,5,C,638000,2024-10-02,2024-10-05,3,Agent_41,Sold
RK-0050,Apartment,Hamburg-Eppendorf,52,4,A,313000,2025-08-22,2025-09-03,12,Agent_41,Sold
RK-0051,Studio,Hamburg-Ottensen,39,1,A,189000,2025-05-05,2025-05-20,15,Agent_16,Sold
RK-0052,House,Hamburg-Bergedorf,152,6,A,1036000,2024-01-26,2024-02-08,13,Agent_42,Sold
RK-0053,Apartment,Hamburg-Bergedorf,126,3,C,573000,2025-08-01,2025-08-10,9,Agent_10,Active
RK-0054,Apartment,Hamburg-Ottensen,52,2,B,271000,2025-09-23,2025-09-25,2,Agent_05,Sold
