project_id,project_type,district,start_date,duration_weeks,budget_eur,status,designer_id,brief_hours
PROJ-001,Show Apartment Staging,Hamburg-Ottensen,2024-12-21,8,137700,Pending Approval,Designer_19,1.6
PROJ-002,Show Apartment Staging,Hamburg-Barmbek,2024-03-13,4,81600,Pending Approval,Designer_01,3.8
PROJ-003,New Build Interior,Hamburg-Ottensen,2024-09-15,13,129700,Pending Approval,Designer_02,2.3
PROJ-004,Office Fit-Out,Hamburg-Eimsbüttel,2024-01-10,10,142800,On Hold,Designer_14,1.6
PROJ-005,Residential Renovation,Hamburg-HafenCity,2025-06-29,12,98100,Active,Designer_09,1.6
PROJ-006,Retail Space Design,Hamburg-Ottensen,2024-10-25,15,68300,Pending Approval,Designer_11,3.8
PROJ-007,Office Fit-Out,Hamburg-Bergedorf,2024-10-27,7,103700,Active,Designer_08,2.6
PROJ-008,Residential Renovation,Hamburg-Eimsbüttel,2024-02-20,19,90200,Active,Designer_12,3.6
PROJ-009,Office Fit-Out,Hamburg-Barmbek,2024-10-24,7,16500,Completed,Designer_16,3.4
PROJ-010,New Build Interior,Hamburg-Barmbek,2025-02-18,12,128100,Completed,Designer_08,2.5
PROJ-011,New Build Interior,Hamburg-HafenCity,2025-01-01,19,51500,On Hold,Designer_09,3.7
PROJ-012,Retail Space Design,Hamburg-Barmbek,2024-10-30,7,15900,Active,Designer_15,4.0
PROJ-013,New Build Interior,Hamburg-Winterhude,2024-09-17,5,102100,On Hold,Designer_13,4.0
PROJ-014,Residential Renovation,Hamburg-Harburg,2024-03-26,5,135400,On Hold,Designer_16,4.5
PROJ-015,Retail Space Design,Hamburg-HafenCity,2024-12-03,5,144000,Active,Designer_13,2.2
PROJ-016,Residential Renovation,Hamburg-Eimsbüttel,2024-06-24,8,23600,Pending Approval,Designer_18,1.8
PROJ-017,Retail Space Design,Hamburg-Eppendorf,2024-02-24,17,98400,Completed,Designer_06,2.3
PROJ-018,Office Fit-Out,Hamburg-Harburg,2025-08-25,4,19500,Active,Designer_13,2.1
PROJ-019,Show Apartment Staging,Hamburg-Barmbek,2024-09-23,9,147700,Completed,Designer_03,3.0
PROJ-020,Residential Renovation,Hamburg-Barmbek,2025-06-23,19,127800,Completed,Designer_11,4.4
PROJ-021,New Build Interior,Hamburg-Wandsbek,2024-02-15,9,23500,On Hold,Designer_17,4.2
PROJ-022,Show Apartment Staging,Hamburg-Blankenese,2024-01-01,12,34400,Completed,Designer_05,1.6
PROJ-023,Residential Renovation,Hamburg-Winterhude,2024-10-01,15,52700,Pending Approval,Designer_12,3.5
PROJ-024,Show Apartment Staging,Hamburg-Bergedorf,2025-03-13,19,133300,Completed,Designer_16,3.2
PROJ-025,New Build Interior,Hamburg-Eppendorf,2024-02-14,16,106400,Completed,Designer_07,3.8
PROJ-026,Office Fit-Out,Hamburg-Blankenese,2024-10-28,7,112400,Active,Designer_07,3.3
PROJ-027,Office Fit-Out,Hamburg-Ottensen,2024-07-25,7,136700,Active,Designer_02,3.2
PROJ-028,New Build Interior,Hamburg-Wandsbek,2025-10-24,16,143300,Active,Designer_17,2.4
PROJ-029,Residential Renovation,Hamburg-Altona,2025-05-28,7,42000,Active,Designer_08,1.8
PROJ-030,Retail Space Design,Hamburg-Ottensen,2025-08-23,13,72000,On Hold,Designer_08,3.0
PROJ-031,Office Fit-Out,Hamburg-Winterhude,2024-10-09,11,43300,Completed,Designer_15,1.9
PROJ-032,New Build Interior,Hamburg-Ottensen,2024-03-21,11,30200,Completed,Designer_09,4.3
PROJ-033,Office Fit-Out,Hamburg-Barmbek,2024-08-30,10,83400,Completed,Designer_03,2.3
PROJ-034,Show Apartment Staging,Hamburg-Blankenese,2024-11-12,4,124200,Completed,Designer_02,2.0
PROJ-035,New Build Interior,Hamburg-St. Pauli,2024-06-03,19,126000,Completed,Designer_11,2.6
PROJ-036,Residential Renovation,Hamburg-Ottensen,2024-10-09,6,30100,Active,Designer_05,2.7
PROJ-037,Residential Renovation,Hamburg-St. Pauli,2025-08-13,6,58100,Completed,Designer_15,3.8
PROJ-038,Office Fit-Out,Hamburg-Harburg,2024-09-03,13,106700,Active,Designer_03,2.2
PROJ-039,Residential Renovation,Hamburg-Altona,2025-04-06,19,105400,On Hold,Designer_16,2.2
PROJ-040,Office Fit-Out,Hamburg-St. Pauli,2024-06-02,15,98600,Completed,Designer_20,4.1
